year_month,arch,num_repos
2019-06-01,MVVM,20
2019-06-01,MVP,2
2019-06-01,MVC,1
2019-07-01,MVVM,9
2019-07-01,MVP,3
2019-07-01,MV,2
2019-07-01,MVC,2
2019-07-01,RIBs,1
2019-08-01,MVVM,7
2019-08-01,MVVM-C,1
2019-09-01,MVVM,6
2019-09-01,MV,1
2019-10-01,MVVM,11
2019-10-01,MV,2
2019-10-01,MVC,2
2019-10-01,MVP,2
2019-10-01,VIPER,1
2019-11-01,MVVM,5
2019-11-01,VIPER,2
2019-11-01,MVI,1
2019-12-01,MVVM,9
2019-12-01,MV,1
2019-12-01,MVC,1
2019-12-01,MVVM-C,1
2020-01-01,MVVM,13
2020-01-01,MV,3
2020-01-01,MVC,1
2020-02-01,MVVM,5
2020-02-01,MVVM-C,3
2020-03-01,MVVM,20
2020-03-01,MV,4
2020-03-01,MVC,2
2020-03-01,MVVM-C,2
2020-03-01,RIBs,1
2020-03-01,VIPER,1
2020-04-01,MVVM,16
2020-04-01,MVC,11
2020-04-01,MVI,2
2020-04-01,MVP,2
2020-04-01,MV,1
2020-04-01,TCA,1
2020-05-01,MVVM,13
2020-05-01,VIPER,5
2020-06-01,MVVM,23
2020-06-01,MV,4
2020-06-01,VIPER,4
2020-06-01,MVC,1
2020-06-01,TCA,1
2020-07-01,MVVM,27
2020-07-01,MVC,3
2020-07-01,MV,2
2020-07-01,TCA,2
2020-07-01,MVP,1
2020-07-01,VIPER,1
2020-08-01,MVVM,10
2020-08-01,TCA,3
2020-08-01,VIPER,3
2020-08-01,MVVM-C,2
2020-08-01,MV,1
2020-09-01,MVVM,12
2020-09-01,TCA,3
2020-09-01,MV,2
2020-09-01,VIPER,1
2020-10-01,MVVM,20
2020-10-01,MV,3
2020-10-01,MVVM-C,3
2020-10-01,TCA,2
2020-10-01,MVI,1
2020-10-01,VIPER,1
2020-11-01,MVVM,14
2020-11-01,MVC,1
2020-12-01,MVVM,20
2020-12-01,MV,2
2021-01-01,MVVM,12
2021-01-01,MV,4
2021-01-01,TCA,2
2021-01-01,VIPER,2
2021-02-01,MVVM,19
2021-02-01,VIPER,4
2021-02-01,MVVM-C,3
2021-02-01,MV,2
2021-02-01,MVC,1
2021-02-01,TCA,1
2021-03-01,MVVM,27
2021-03-01,MVP,5
2021-03-01,MVVM-C,4
2021-03-01,MVC,3
2021-03-01,TCA,3
2021-03-01,VIPER,3
2021-03-01,MV,2
2021-04-01,MVVM,21
2021-04-01,MVC,2
2021-04-01,TCA,2
2021-04-01,VIPER,2
2021-04-01,MV,1
2021-04-01,MVI,1
2021-05-01,MVVM,35
2021-05-01,TCA,6
2021-05-01,MVVM-C,3
2021-05-01,MV,2
2021-05-01,MVC,1
2021-06-01,MVVM,22
2021-06-01,MV,7
2021-06-01,MVI,2
2021-06-01,VIPER,2
2021-06-01,MVP,1
2021-06-01,TCA,1
2021-07-01,MVVM,23
2021-07-01,TCA,7
2021-07-01,MV,1
2021-08-01,MVVM,23
2021-08-01,MVVM-C,5
2021-08-01,VIPER,4
2021-08-01,MV,3
2021-08-01,MVI,1
2021-08-01,TCA,1
2021-09-01,MVVM,22
2021-09-01,TCA,5
2021-09-01,MVI,2
2021-09-01,VIPER,2
2021-09-01,MV,1
2021-09-01,MVC,1
2021-09-01,MVVM-C,1
2021-10-01,MVVM,22
2021-10-01,MV,5
2021-10-01,TCA,3
2021-10-01,VIPER,3
2021-10-01,MVVM-C,2
2021-11-01,MVVM,15
2021-11-01,TCA,3
2021-11-01,MV,2
2021-11-01,MVP,1
2021-11-01,VIPER,1
2021-12-01,MVVM,27
2021-12-01,MV,4
2021-12-01,MVVM-C,3
2021-12-01,MVP,1
2021-12-01,RIBs,1
2022-01-01,MVVM,47
2022-01-01,TCA,9
2022-01-01,MVVM-C,8
2022-01-01,MVC,4
2022-01-01,VIPER,4
2022-01-01,MV,2
2022-01-01,MVI,1
2022-02-01,MVVM,28
2022-02-01,MV,2
2022-02-01,MVC,2
2022-02-01,TCA,2
2022-02-01,MVVM-C,1
2022-02-01,VIPER,1
2022-03-01,MVVM,32
2022-03-01,TCA,4
2022-03-01,MV,2
2022-03-01,MVC,1
2022-04-01,MVVM,34
2022-04-01,TCA,6
2022-04-01,MVC,1
2022-04-01,MVP,1
2022-05-01,MVVM,31
2022-05-01,TCA,7
2022-05-01,MV,5
2022-06-01,MVVM,30
2022-06-01,TCA,6
2022-06-01,MVC,2
2022-06-01,MV,1
2022-06-01,VIPER,1
2022-07-01,MVVM,22
2022-07-01,MV,8
2022-07-01,TCA,7
2022-07-01,VIPER,1
2022-08-01,MVVM,38
2022-08-01,TCA,5
2022-08-01,MV,4
2022-08-01,MVI,4
2022-08-01,MVVM-C,1
2022-09-01,MVVM,31
2022-09-01,MV,5
2022-09-01,TCA,5
2022-09-01,VIPER,4
2022-09-01,MVI,2
2022-09-01,MVC,1
2022-09-01,MVVM-C,1
2022-10-01,MVVM,37
2022-10-01,MV,6
2022-10-01,TCA,5
2022-10-01,MVP,4
2022-10-01,MVVM-C,2
2022-10-01,VIPER,1
2022-11-01,MVVM,32
2022-11-01,TCA,5
2022-11-01,MV,3
2022-11-01,MVC,2
2022-11-01,MVP,1
2022-11-01,MVVM-C,1
2022-12-01,MVVM,23
2022-12-01,MVC,8
2022-12-01,VIPER,8
2022-12-01,TCA,5
2022-12-01,MVI,2
2022-12-01,MV,1
2023-01-01,MVVM,39
2023-01-01,MV,9
2023-01-01,TCA,9
2023-01-01,MVC,3
2023-01-01,MVI,1
2023-01-01,MVVM-C,1
2023-01-01,VIPER,1
2023-02-01,MVVM,28
2023-02-01,MV,9
2023-02-01,TCA,9
2023-02-01,MVC,3
2023-02-01,VIPER,3
2023-02-01,MVVM-C,1
2023-02-01,RIBs,1
2023-03-01,MVVM,40
2023-03-01,MV,12
2023-03-01,MVVM-C,12
2023-03-01,TCA,4
2023-03-01,VIPER,4
2023-03-01,MVP,3
2023-03-01,MVC,2
2023-04-01,MVVM,37
2023-04-01,TCA,8
2023-04-01,MV,6
2023-04-01,MVVM-C,4
2023-04-01,MVP,2
2023-04-01,MVC,1
2023-04-01,VIPER,1
2023-05-01,MVVM,38
2023-05-01,MV,9
2023-05-01,MVVM-C,9
2023-05-01,TCA,8
2023-05-01,MVC,2
2023-05-01,MVI,1
2023-05-01,VIPER,1
2023-06-01,MVVM,36
2023-06-01,TCA,7
2023-06-01,MVVM-C,4
2023-06-01,VIPER,4
2023-06-01,MV,3
2023-06-01,MVP,3
2023-06-01,MVC,1
2023-06-01,MVI,1
2023-06-01,RIBs,1
2023-07-01,MVVM,36
2023-07-01,TCA,11
2023-07-01,MVVM-C,5
2023-07-01,MV,4
2023-07-01,MVI,4
2023-07-01,MVC,3
2023-07-01,VIPER,1
2023-08-01,MVVM,18
2023-08-01,TCA,7
2023-08-01,MV,5
2023-08-01,MVVM-C,3
2023-08-01,RIBs,2
2023-08-01,MVI,1
2023-08-01,MVP,1
2023-08-01,VIPER,1
2023-09-01,MVVM,34
2023-09-01,TCA,10
2023-09-01,MVC,4
2023-09-01,MV,3
2023-09-01,MVVM-C,3
2023-09-01,MVI,2
2023-09-01,MVP,2
2023-09-01,VIPER,2
2023-10-01,MVVM,34
2023-10-01,TCA,10
2023-10-01,MV,6
2023-10-01,MVC,4
2023-10-01,VIPER,4
2023-10-01,MVP,1
2023-11-01,MVVM,24
2023-11-01,MV,8
2023-11-01,TCA,6
2023-11-01,MVVM-C,4
2023-11-01,VIPER,2
2023-11-01,MVP,1
2023-12-01,MVVM,29
2023-12-01,TCA,9
2023-12-01,MV,8
2023-12-01,VIPER,3
2023-12-01,MVC,2
2023-12-01,MVVM-C,1
2024-01-01,MVVM,40
2024-01-01,TCA,10
2024-01-01,MVVM-C,8
2024-01-01,VIPER,7
2024-01-01,MV,5
2024-01-01,MVI,1
2024-02-01,MVVM,48
2024-02-01,TCA,10
2024-02-01,MV,5
2024-02-01,MVVM-C,4
2024-02-01,MVC,2
2024-03-01,MVVM,43
2024-03-01,TCA,9
2024-03-01,MV,8
2024-03-01,MVP,2
2024-03-01,VIPER,2
2024-03-01,MVI,1
2024-03-01,MVVM-C,1
2024-04-01,MVVM,38
2024-04-01,TCA,9
2024-04-01,MV,7
2024-04-01,MVC,6
2024-04-01,MVP,3
2024-04-01,MVVM-C,3
2024-04-01,VIPER,1
2024-05-01,MVVM,40
2024-05-01,TCA,14
2024-05-01,MVVM-C,9
2024-05-01,MVP,6
2024-05-01,VIPER,4
2024-05-01,MVC,3
2024-05-01,MVI,3
2024-05-01,MV,1
2024-06-01,MVVM,39
2024-06-01,TCA,9
2024-06-01,MV,5
2024-06-01,VIPER,3
2024-06-01,MVC,2
2024-06-01,MVVM-C,1
2024-07-01,MVVM,38
2024-07-01,MVVM-C,9
2024-07-01,TCA,9
2024-07-01,MVC,3
2024-07-01,MV,1
2024-07-01,MVP,1
2024-08-01,MVVM,29
2024-08-01,TCA,12
2024-08-01,MV,4
2024-08-01,MVC,3
2024-08-01,MVVM-C,2
2024-08-01,VIPER,2
2024-09-01,MVVM,26
2024-09-01,TCA,11
2024-09-01,MVVM-C,9
2024-09-01,MVI,4
2024-09-01,MV,3
2024-09-01,VIPER,3
2024-09-01,MVC,2
2024-10-01,MVVM,13
2024-10-01,TCA,8
2024-10-01,MVC,4
2024-10-01,MVVM-C,3
2024-10-01,MV,2
2024-10-01,MVI,1
2024-10-01,VIPER,1
2024-11-01,MVVM,36
2024-11-01,TCA,11
2024-11-01,VIPER,8
2024-11-01,MV,7
2024-11-01,MVVM-C,7
2024-11-01,MVC,5
2024-11-01,RIBs,3
2024-12-01,MVVM,40
2024-12-01,MVVM-C,8
2024-12-01,MV,5
2024-12-01,TCA,5
2024-12-01,MVI,2
2025-01-01,MVVM,18
2025-01-01,TCA,7
2025-01-01,VIPER,5
2025-01-01,MV,2
2025-01-01,MVP,2
2025-01-01,MVVM-C,1
2025-02-01,MVVM,24
2025-02-01,TCA,5
2025-02-01,VIPER,5
2025-02-01,MV,4
2025-02-01,MVC,4
2025-02-01,MVP,2
2025-02-01,MVVM-C,2
2025-02-01,MVI,1
2025-03-01,MVVM,22
2025-03-01,TCA,11
2025-03-01,MV,4
2025-03-01,MVVM-C,4
2025-03-01,VIPER,3
2025-03-01,MVC,1
2025-04-01,MVVM,25
2025-04-01,MV,6
2025-04-01,MVVM-C,4
2025-04-01,TCA,4
2025-04-01,MVI,2
2025-04-01,MVP,1
2025-04-01,RIBs,1
2025-04-01,VIPER,1
2025-05-01,MVVM,35
2025-05-01,TCA,16
2025-05-01,VIPER,5
2025-05-01,MVVM-C,4
