year_month,arch,num_repos
2025-05-01,MV,3
2025-05-01,MVC,1
2025-06-01,MVVM,20
2025-06-01,TCA,10
2025-06-01,MVVM-C,6
2025-06-01,MV,4
2025-06-01,VIPER,4
2025-06-01,MVC,1
2025-06-01,MVI,1
2025-06-01,MVP,1
2025-06-01,RIBs,1
2025-07-01,MVVM,18
2025-07-01,TCA,6
2025-07-01,VIPER,3
2025-07-01,MV,2
2025-07-01,MVC,2
2025-07-01,MVI,2
2025-07-01,MVP,1
2025-08-01,MVVM,30
2025-08-01,TCA,9
2025-08-01,MVI,5
2025-08-01,VIPER,5
2025-08-01,MV,4
2025-08-01,MVP,1
2025-09-01,MVVM,25
2025-09-01,TCA,14
2025-09-01,MVI,4
2025-09-01,VIPER,4
2025-09-01,MVVM-C,3
2025-09-01,MVP,2
2025-09-01,RIBs,2
2025-09-01,MV,1
2025-10-01,MVVM,23
2025-10-01,TCA,12
2025-10-01,MVI,3
2025-10-01,VIPER,3
2025-10-01,MV,2
2025-10-01,MVP,1
2025-10-01,MVVM-C,1
2025-11-01,MVVM,31
2025-11-01,TCA,6
2025-11-01,MV,5
2025-11-01,MVVM-C,4
2025-11-01,MVC,3
2025-11-01,MVI,3
2025-11-01,MVP,1
2025-12-01,MVVM,39
2025-12-01,MVVM-C,11
2025-12-01,TCA,5
2025-12-01,MV,3
2025-12-01,MVI,3
2025-12-01,MVP,1
2025-12-01,VIPER,1
2026-01-01,MVVM,28
2026-01-01,TCA,6
2026-01-01,MVI,4
2026-01-01,MVVM-C,4
2026-01-01,VIPER,4
2026-01-01,MV,3
2026-01-01,MVP,3
2026-01-01,MVC,1
2026-02-01,MVVM,32
2026-02-01,TCA,8
2026-02-01,VIPER,8
2026-02-01,MVVM-C,4
2026-02-01,MV,3
2026-02-01,MVC,3
2026-02-01,MVI,2
2026-03-01,MVVM,24
2026-03-01,MV,4
2026-03-01,MVP,3
2026-03-01,MVI,2
2026-03-01,MVVM-C,1
2026-03-01,TCA,1
2026-03-01,VIPER,1
2026-04-01,MVVM,25
2026-04-01,TCA,15
2026-04-01,MVP,7
2026-04-01,MV,6
2026-04-01,MVVM-C,4
2026-04-01,VIPER,4
2026-04-01,MVC,2
2026-04-01,MVI,2
2026-05-01,MVVM,14
2026-05-01,TCA,4
2026-05-01,MVC,3
2026-05-01,MVP,3
2026-05-01,MV,1
2026-05-01,MVVM-C,1
2026-05-01,VIPER,1
