answer_id,question_id,body,score,is_accepted,author,created_iso,last_activity_iso,link,matched_arch_keywords,analysis_text,detected_architectures,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,sentiment_label
57835135,57826430,"<p>I've spent the few last hours playing around with the code and I think I've come up with a pretty good way of doing this. I don't know if that's the intended way or if it's proper MVVM but it seems to work and it's actually quite convenient.</p>
<p>I will post an entire working example below for anyone to try out. It should work out of the box.</p>
<p>Here are some thoughts (which might be complete garbage, I don't know anything about that stuff yet. Please correct me if I'm wrong :))</p>
<ul>
<li><p>I think that <code>view models</code> <strong>probably shouldn't contain or save any actual data from the model</strong>. Doing this would effectively create a copy of what's already saved in the <code>model layer</code>. Having data stored in multiple places causes all kinds of synchronization and update problems you have to consider when changing anything. Everything I tried ended up being a huge, unreadable chunk of ugly code.</p>
</li>
<li><p>Using classes for the data structures inside the model doesn't really work well because it makes detecting changes more cumbersome (changing a property doesn't change the object). Thus, I made the <code>Character</code> class a <code>struct</code> instead.</p>
</li>
<li><p>I spent hours trying to figure out how to communicate changes between the <code>model layer</code> and the <code>view model</code>. I tried setting up custom publishers, custom subscribers that track any changes and update the view model accordingly, I considered having the <code>model</code> subscribe to the <code>view model</code> as well to establish two-way communication, etc. Nothing worked out. It felt unnatural. <strong>But here's the thing</strong>: The model doesn't have to communicate with the view model. In fact, I think it shouldn't at all. That's probably what MVVM is about. The visualisation shown in an MVVM tutorial on <a href=""http://raywenderlich.com"" rel=""noreferrer"">raywenderlich.com</a> shows this as well:</p>
</li>
</ul>
<p><a href=""https://i.sstatic.net/0VBaq.png"" rel=""noreferrer""><img src=""https://i.sstatic.net/0VBaq.png"" alt=""enter image description here"" /></a>
(Source: <a href=""https://www.raywenderlich.com/4161005-mvvm-with-combine-tutorial-for-ios"" rel=""noreferrer"">https://www.raywenderlich.com/4161005-mvvm-with-combine-tutorial-for-ios</a>)</p>
<ul>
<li><p>That's a one-way connection. The view model reads from the model and maybe makes changes to the data but that's it.</p>
<p>So instead of having the <code>model</code> tell the <code>view model</code> about any changes, I simply let the <code>view</code> detect changes to the <code>model</code> by making the model an <code>ObservableObject</code>. Every time it changes, the view is being recalculated which calls methods and properties on the <code>view model</code>. The <code>view model</code>, however, simply grabs the current data from the model (as it only accesses and never saves them) and provides it to the view. <strong>The view model simply doesn't have to know whether or not the model has been updated. It doesn't matter</strong>.</p>
</li>
<li><p>With that in mind, it wasn't hard to make the example work.</p>
</li>
</ul>
<hr />
<p>Here's the example app to demonstrate everything. It simply shows a list of all characters while simultaneously displaying a second view that shows a single character.</p>
<p>Both views are synched when making changes.</p>
<p><a href=""https://i.sstatic.net/tdHEG.gif"" rel=""noreferrer""><img src=""https://i.sstatic.net/tdHEG.gif"" alt=""enter image description here"" /></a></p>
<pre class=""lang-swift prettyprint-override""><code>import SwiftUI
import Combine

/// The model layer.
/// It's also an Observable object so that swiftUI can easily detect changes to it that trigger any active views to redraw.
class MyGame: ObservableObject {
    
    /// A data object. It should be a struct so that changes can be detected very easily.
    struct Character: Equatable, Identifiable {
        var id: String { return name }
        
        let name: String
        var strength: Int
        
        static func ==(lhs: Character, rhs: Character) -&gt; Bool {
            lhs.name == rhs.name &amp;&amp; lhs.strength == rhs.strength
        }
        
        /// Placeholder character used when some data is not available for some reason.
        public static var placeholder: Character {
            return Character(name: &quot;Placeholder&quot;, strength: 301)
        }
    }
    
    /// Array containing all the game's characters.
    /// Private setter to prevent uncontrolled changes from outside.
    @Published public private(set) var characters: [Character]
    
    init(characters: [Character]) {
        self.characters = characters
    }
    
    public func update(_ character: Character) {
        characters = characters.map { $0.name == character.name ? character : $0 }
    }
    
}

/// A View that lists all characters in the game.
struct CharacterList: View {
    
    /// The view model for CharacterList.
    class ViewModel: ObservableObject {
        
        /// The Publisher that SwiftUI uses to track changes to the view model.
        /// In this example app, you don't need that but in general, you probably have stuff in the view model that can change.
        let objectWillChange = PassthroughSubject&lt;Void, Never&gt;()
        
        /// Reference to the game (the model).
        private var game: MyGame
        
        /// The characters that the CharacterList view should display.
        /// Important is that the view model should not save any actual data. The model is the &quot;source of truth&quot; and the view model
        /// simply accesses the data and prepares it for the view if necessary.
        public var characters: [MyGame.Character] {
            return game.characters
        }
        
        init(game: MyGame) {
            self.game = game
        }
    }
    
    @ObservedObject var viewModel: ViewModel
    
    // Tracks what character has been selected by the user. Not important,
    // just a mechanism to demonstrate updating the model via tapping on a button
    @Binding var selectedCharacter: MyGame.Character?

    var body: some View {
        List {
            ForEach(viewModel.characters) { character in
                Button(action: {
                    self.selectedCharacter = character
                }) {
                    HStack {
                        ZStack(alignment: .center) {
                            Circle()
                                .frame(width: 60, height: 40)
                                .foregroundColor(Color(UIColor.secondarySystemBackground))
                            Text(&quot;\(character.strength)&quot;)
                        }
                        
                        VStack(alignment: .leading) {
                            Text(&quot;Character&quot;).font(.caption)
                            Text(character.name).bold()
                        }
                        
                        Spacer()
                    }
                }
                .foregroundColor(Color.primary)
            }
        }
    }
    
}

/// Detail view.
struct CharacterDetail: View {

    /// The view model for CharacterDetail.
    /// This is intentionally only slightly different to the view model of CharacterList to justify a separate view model class.
    class ViewModel: ObservableObject {
        
        /// The Publisher that SwiftUI uses to track changes to the view model.
        /// In this example app, you don't need that but in general, you probably have stuff in the view model that can change.
        let objectWillChange = PassthroughSubject&lt;Void, Never&gt;()
        
        /// Reference to the game (the model).
        private var game: MyGame
        
        /// The id of a character (the name, in this case)
        private var characterId: String
        
        /// The characters that the CharacterList view should display.
        /// This does not have a `didSet { objectWillChange.send() }` observer.
        public var character: MyGame.Character {
            game.characters.first(where: { $0.name == characterId }) ?? MyGame.Character.placeholder
        }
        
        init(game: MyGame, characterId: String) {
            self.game = game
            self.characterId = characterId
        }
        
        /// Increases the character's strength by one and updates the game accordingly.
        /// - **Important**: If the view model saved its own copy of the model's data, this would be the point
        /// where everything goes out of sync. Thus, we're using the methods provided by the model to let it modify its own data.
        public func increaseCharacterStrength() {
            
            // Grab current character and change it
            var character = self.character
            character.strength += 1
            
            // Tell the model to update the character
            game.update(character)
        }
    }
    
    @ObservedObject var viewModel: ViewModel
    
    var body: some View {
        ZStack(alignment: .center) {
            
            RoundedRectangle(cornerRadius: 25, style: .continuous)
                .padding()
                .foregroundColor(Color(UIColor.secondarySystemBackground))
            
            VStack {
                Text(viewModel.character.name)
                    .font(.headline)
                
                Button(action: {
                    self.viewModel.increaseCharacterStrength()
                }) {
                    ZStack(alignment: .center) {
                        Circle()
                            .frame(width: 80, height: 80)
                            .foregroundColor(Color(UIColor.tertiarySystemBackground))
                        Text(&quot;\(viewModel.character.strength)&quot;).font(.largeTitle).bold()
                    }.padding()
                }
                
                Text(&quot;Tap on circle\nto increase number&quot;)
                .font(.caption)
                .lineLimit(2)
                .multilineTextAlignment(.center)
            }
        }
    }
    
}


struct WrapperView: View {
    
    /// Treat the model layer as an observable object and inject it into the view.
    /// In this case, I used @EnvironmentObject but you can also use @ObservedObject. Doesn't really matter.
    /// I just wanted to separate this model layer from everything else, so why not have it be an environment object?
    @EnvironmentObject var game: MyGame
    
    /// The character that the detail view should display. Is nil if no character is selected.
    @State var showDetailCharacter: MyGame.Character? = nil

    var body: some View {
        NavigationView {
            VStack(alignment: .leading) {
                
                Text(&quot;Tap on a character to increase its number&quot;)
                    .padding(.horizontal, nil)
                    .font(.caption)
                    .lineLimit(2)
                
                CharacterList(viewModel: CharacterList.ViewModel(game: game), selectedCharacter: $showDetailCharacter)
                
                if showDetailCharacter != nil {
                    CharacterDetail(viewModel: CharacterDetail.ViewModel(game: game, characterId: showDetailCharacter!.name))
                        .frame(height: 300)
                }
                
            }
            .navigationBarTitle(&quot;Testing MVVM&quot;)
        }
    }
}

struct WrapperView_Previews: PreviewProvider {
    static var previews: some View {
        WrapperView()
        .environmentObject(MyGame(characters: previewCharacters()))
        .previewDevice(PreviewDevice(rawValue: &quot;iPhone XS&quot;))
    }
    
    static func previewCharacters() -&gt; [MyGame.Character] {
        let character1 = MyGame.Character(name: &quot;Bob&quot;, strength: 1)
        let character2 = MyGame.Character(name: &quot;Alice&quot;, strength: 42)
        let character3 = MyGame.Character(name: &quot;Leonie&quot;, strength: 58)
        let character4 = MyGame.Character(name: &quot;Jeff&quot;, strength: 95)
        return [character1, character2, character3, character4]
    }
}

</code></pre>
",15,False,SwiftedMind,2019-09-07 15:32:03+00:00,2019-09-07T15:32:03+00:00,,MVVM,"I've spent the few last hours playing around with the code and I think I've come up with a pretty good way of doing this. I don't know if that's the intended way or if it's proper MVVM but it seems to work and it's actually quite convenient. 
 I will post an entire working example below for anyone to try out. It should work out of the box. 
 Here are some thoughts (which might be complete garbage, I don't know anything about that stuff yet. Please correct me if I'm wrong :)) 
 
 I think that  view models   probably shouldn't contain or save any actual data from the model . Doing this would effectively create a copy of what's already saved in the  model layer . Having data stored in multiple places causes all kinds of synchronization and update problems you have to consider when changing anything. Everything I tried ended up being a huge, unreadable chunk of ugly code. 
 
 Using classes for the data structures inside the model doesn't really work well because it makes detecting changes more cumbersome (changing a property doesn't change the object). Thus, I made the  Character  class a  struct  instead. 
 
 I spent hours trying to figure out how to communicate changes between the  model layer  and the  view model . I tried setting up custom publishers, custom subscribers that track any changes and update the view model accordingly, I considered having the  model  subscribe to the  view model  as well to establish two-way communication, etc. Nothing worked out. It felt unnatural.  But here's the thing : The model doesn't have to communicate with the view model. In fact, I think it shouldn't at all. That's probably what MVVM is about. The visualisation shown in an MVVM tutorial on  raywenderlich.com  shows this as well: 
 
 
 
(Source:  https://www.raywenderlich.com/4161005-mvvm-with-combine-tutorial-for-ios ) 
 
 That's a one-way connection. The view model reads from the model and maybe makes changes to the data but that's it. 
 So instead of having the  model  tell the  view model  about any changes, I simply let the  view  detect changes to the  model  by making the model an  ObservableObject . Every time it changes, the view is being recalculated which calls methods and properties on the  view model . The  view model , however, simply grabs the current data from the model (as it only accesses and never saves them) and provides it to the view.  The view model simply doesn't have to know whether or not the model has been updated. It doesn't matter . 
 
 With that in mind, it wasn't hard to make the example work. 
 
 
 
 Here's the example app to demonstrate everything. It simply shows a list of all characters while simultaneously displaying a second view that shows a single character. 
 Both views are synched when making changes. 
 
 import SwiftUI
import Combine

/// The model layer.
/// It's also an Observable object so that swiftUI can easily detect changes to it that trigger any active views to redraw.
class MyGame: ObservableObject {
    
    /// A data object. It should be a struct so that changes can be detected very easily.
    struct Character: Equatable, Identifiable {
        var id: String { return name }
        
        let name: String
        var strength: Int
        
        static func ==(lhs: Character, rhs: Character) -> Bool {
            lhs.name == rhs.name && lhs.strength == rhs.strength
        }
        
        /// Placeholder character used when some data is not available for some reason.
        public static var placeholder: Character {
            return Character(name: ""Placeholder"", strength: 301)
        }
    }
    
    /// Array containing all the game's characters.
    /// Private setter to prevent uncontrolled changes from outside.
    @Published public private(set) var characters: [Character]
    
    init(characters: [Character]) {
        self.characters = characters
    }
    
    public func update(_ character: Character) {
        characters = characters.map { $0.name == character.name ? character : $0 }
    }
    
}

/// A View that lists all characters in the game.
struct CharacterList: View {
    
    /// The view model for CharacterList.
    class ViewModel: ObservableObject {
        
        /// The Publisher that SwiftUI uses to track changes to the view model.
        /// In this example app, you don't need that but in general, you probably have stuff in the view model that can change.
        let objectWillChange = PassthroughSubject<Void, Never>()
        
        /// Reference to the game (the model).
        private var game: MyGame
        
        /// The characters that the CharacterList view should display.
        /// Important is that the view model should not save any actual data. The model is the ""source of truth"" and the view model
        /// simply accesses the data and prepares it for the view if necessary.
        public var characters: [MyGame.Character] {
            return game.characters
        }
        
        init(game: MyGame) {
            self.game = game
        }
    }
    
    @ObservedObject var viewModel: ViewModel
    
    // Tracks what character has been selected by the user. Not important,
    // just a mechanism to demonstrate updating the model via tapping on a button
    @Binding var selectedCharacter: MyGame.Character?

    var body: some View {
        List {
            ForEach(viewModel.characters) { character in
                Button(action: {
                    self.selectedCharacter = character
                }) {
                    HStack {
                        ZStack(alignment: .center) {
                            Circle()
                                .frame(width: 60, height: 40)
                                .foregroundColor(Color(UIColor.secondarySystemBackground))
                            Text(""\(character.strength)"")
                        }
                        
                        VStack(alignment: .leading) {
                            Text(""Character"").font(.caption)
                            Text(character.name).bold()
                        }
                        
                        Spacer()
                    }
                }
                .foregroundColor(Color.primary)
            }
        }
    }
    
}

/// Detail view.
struct CharacterDetail: View {

    /// The view model for CharacterDetail.
    /// This is intentionally only slightly different to the view model of CharacterList to justify a separate view model class.
    class ViewModel: ObservableObject {
        
        /// The Publisher that SwiftUI uses to track changes to the view model.
        /// In this example app, you don't need that but in general, you probably have stuff in the view model that can change.
        let objectWillChange = PassthroughSubject<Void, Never>()
        
        /// Reference to the game (the model).
        private var game: MyGame
        
        /// The id of a character (the name, in this case)
        private var characterId: String
        
        /// The characters that the CharacterList view should display.
        /// This does not have a `didSet { objectWillChange.send() }` observer.
        public var character: MyGame.Character {
            game.characters.first(where: { $0.name == characterId }) ?? MyGame.Character.placeholder
        }
        
        init(game: MyGame, characterId: String) {
            self.game = game
            self.characterId = characterId
        }
        
        /// Increases the character's strength by one and updates the game accordingly.
        /// - **Important**: If the view model saved its own copy of the model's data, this would be the point
        /// where everything goes out of sync. Thus, we're using the methods provided by the model to let it modify its own data.
        public func increaseCharacterStrength() {
            
            // Grab current character and change it
            var character = self.character
            character.strength += 1
            
            // Tell the model to update the character
            game.update(character)
        }
    }
    
    @ObservedObject var viewModel: ViewModel
    
    var body: some View {
        ZStack(alignment: .center) {
            
            RoundedRectangle(cornerRadius: 25, style: .continuous)
                .padding()
                .foregroundColor(Color(UIColor.secondarySystemBackground))
            
            VStack {
                Text(viewModel.character.name)
                    .font(.headline)
                
                Button(action: {
                    self.viewModel.increaseCharacterStrength()
                }) {
                    ZStack(alignment: .center) {
                        Circle()
                            .frame(width: 80, height: 80)
                            .foregroundColor(Color(UIColor.tertiarySystemBackground))
                        Text(""\(viewModel.character.strength)"").font(.largeTitle).bold()
                    }.padding()
                }
                
                Text(""Tap on circle\nto increase number"")
                .font(.caption)
                .lineLimit(2)
                .multilineTextAlignment(.center)
            }
        }
    }
    
}


struct WrapperView: View {
    
    /// Treat the model layer as an observable object and inject it into the view.
    /// In this case, I used @EnvironmentObject but you can also use @ObservedObject. Doesn't really matter.
    /// I just wanted to separate this model layer from everything else, so why not have it be an environment object?
    @EnvironmentObject var game: MyGame
    
    /// The character that the detail view should display. Is nil if no character is selected.
    @State var showDetailCharacter: MyGame.Character? = nil

    var body: some View {
        NavigationView {
            VStack(alignment: .leading) {
                
                Text(""Tap on a character to increase its number"")
                    .padding(.horizontal, nil)
                    .font(.caption)
                    .lineLimit(2)
                
                CharacterList(viewModel: CharacterList.ViewModel(game: game), selectedCharacter: $showDetailCharacter)
                
                if showDetailCharacter != nil {
                    CharacterDetail(viewModel: CharacterDetail.ViewModel(game: game, characterId: showDetailCharacter!.name))
                        .frame(height: 300)
                }
                
            }
            .navigationBarTitle(""Testing MVVM"")
        }
    }
}

struct WrapperView_Previews: PreviewProvider {
    static var previews: some View {
        WrapperView()
        .environmentObject(MyGame(characters: previewCharacters()))
        .previewDevice(PreviewDevice(rawValue: ""iPhone XS""))
    }
    
    static func previewCharacters() -> [MyGame.Character] {
        let character1 = MyGame.Character(name: ""Bob"", strength: 1)
        let character2 = MyGame.Character(name: ""Alice"", strength: 42)
        let character3 = MyGame.Character(name: ""Leonie"", strength: 58)
        let character4 = MyGame.Character(name: ""Jeff"", strength: 95)
        return [character1, character2, character3, character4]
    }
}

 
",MVVM,0.029,0.905,0.067,0.9939,positive
62994713,62969410,"<p>I think your hypothesis is wrong.</p>
<blockquote>
<p>Ideally the model classes should be written as Class not Struct</p>
</blockquote>
<p>Make a distinction between model with and without state.</p>
<p>Model without state should be value type.</p>
<p>Model with state should be reference type.</p>
<blockquote>
<p>The second set of classes we need are views i.e. inherited from View. Undoubtedly these has to be Struct as SwiftUI framework works this way.</p>
</blockquote>
<p>Value type cannot be inherited. I also think they are models rather than views.</p>
<p>E.g.;  <code>struct Model: View {}</code></p>
<p>They are models, that can be used to build views, hence the View conformance.</p>
<p>The fact that it is of value type also supports that it's not view. (cannot be inherited)</p>
<p>Whether your model has state or not, as long as it conforms to View, it can be used to render a view. This is the design of SwiftUI, taking a page from React, IMO. (I personally don't see React ever bothering with MVVM)</p>
<p>Now since you think Model should be strictly without state, you have a problem.</p>
<p>You need a reference type object that handles all the state and bridge it to the view.</p>
<p>You can follow MVVM. In that case you lose most of the SDK support that builds around <code>struct Model: View</code>, e.g.; <code>@State</code>, <code>@StateObject</code>, <code>@EnvironmentObject</code>, and associated automatic binding and safety checks. You would also add at least one reference type for each of the views, and put most of the control / business logic in it. (where else can you put it?)</p>
<p>So it's in effect a view controller. And you would be doing most of the Control work on a reference type object, without safe guards of immutability. That is on top of all the overheads you would introduce; and since you would pass view model around to be &quot;reusable&quot;, you are going to have all the usual bugs caused by shared reference with implicit states.</p>
<p>Take my above assessment with a grain of salt, of course.</p>
<p>Or you can do what official guide do: <code>struct Model: View {}</code> with possible states in it.</p>
<p>The key here, as SDK requires you to put extra annotation, is that state objects are explicitly identified. E.g.; <code>@StateObject</code>, <code>@ObservableObject</code>. And you have to create reference type objects separate from your model. It essentially cuts out the middle man that is view model.</p>
<p>I think this is the most difficult thing for MVVM devs to get used to. You no longer need a view model to do what a view model does.</p>
<p>But shouldn't it be obvious? View model depends on how binding is designed. If SwiftUI has a binding design so efficient, (it does so <em>declaratively</em> without extra object) view model could be automatic.</p>
<p>SwiftUI removes UIViewController, does that mean you can't have Control?</p>
<p>I don't see MVC developers come out and create a <code>Controller</code> for every view.</p>
<p>Same reasoning, you can have MVVM without VM. Design pattern is a <code>@State</code> of mind.</p>
<p>To summarize:</p>
<p>I think the best architecture is official SDK. Learn to walk before you run.</p>
<p>MVVM in legacy sense is an option too. But I think you need to consider the possibility that</p>
<p>traditional wisdom is not up-to-date with latest SDK.</p>
",10,True,Jim lai,2020-07-20 11:46:45+00:00,2020-07-20T11:46:45+00:00,,"MVC,MVVM","I think your hypothesis is wrong. 
 
 Ideally the model classes should be written as Class not Struct 
 
 Make a distinction between model with and without state. 
 Model without state should be value type. 
 Model with state should be reference type. 
 
 The second set of classes we need are views i.e. inherited from View. Undoubtedly these has to be Struct as SwiftUI framework works this way. 
 
 Value type cannot be inherited. I also think they are models rather than views. 
 E.g.;   struct Model: View {} 
 They are models, that can be used to build views, hence the View conformance. 
 The fact that it is of value type also supports that it's not view. (cannot be inherited) 
 Whether your model has state or not, as long as it conforms to View, it can be used to render a view. This is the design of SwiftUI, taking a page from React, IMO. (I personally don't see React ever bothering with MVVM) 
 Now since you think Model should be strictly without state, you have a problem. 
 You need a reference type object that handles all the state and bridge it to the view. 
 You can follow MVVM. In that case you lose most of the SDK support that builds around  struct Model: View , e.g.;  @State ,  @StateObject ,  @EnvironmentObject , and associated automatic binding and safety checks. You would also add at least one reference type for each of the views, and put most of the control / business logic in it. (where else can you put it?) 
 So it's in effect a view controller. And you would be doing most of the Control work on a reference type object, without safe guards of immutability. That is on top of all the overheads you would introduce; and since you would pass view model around to be ""reusable"", you are going to have all the usual bugs caused by shared reference with implicit states. 
 Take my above assessment with a grain of salt, of course. 
 Or you can do what official guide do:  struct Model: View {}  with possible states in it. 
 The key here, as SDK requires you to put extra annotation, is that state objects are explicitly identified. E.g.;  @StateObject ,  @ObservableObject . And you have to create reference type objects separate from your model. It essentially cuts out the middle man that is view model. 
 I think this is the most difficult thing for MVVM devs to get used to. You no longer need a view model to do what a view model does. 
 But shouldn't it be obvious? View model depends on how binding is designed. If SwiftUI has a binding design so efficient, (it does so  declaratively  without extra object) view model could be automatic. 
 SwiftUI removes UIViewController, does that mean you can't have Control? 
 I don't see MVC developers come out and create a  Controller  for every view. 
 Same reasoning, you can have MVVM without VM. Design pattern is a  @State  of mind. 
 To summarize: 
 I think the best architecture is official SDK. Learn to walk before you run. 
 MVVM in legacy sense is an option too. But I think you need to consider the possibility that 
 traditional wisdom is not up-to-date with latest SDK. 
","MVVM,MVC",0.027,0.907,0.066,0.9695,positive
