question_id,matched_search_queries,title,body,tags,score,answer_count,view_count,is_answered,accepted_answer_id,author,created_iso,last_activity_iso,link,matched_arch_keywords,matched_swiftui_keywords
75479177,SwiftUI MV;SwiftUI MVVM;SwiftUI architecture pattern,Is Using MVVM with SwiftUI a &#39;bad practice&#39;?,"<p>I am writing a SwiftUI app and am having a hard time understanding the best architectural pattern to go with. I know MVVM is the go-to in mobile development in general, but have also seen sources that say that swiftUI has MVVM built in, so all that is needed is MV. Here is one such source: <a href=""https://developer.apple.com/forums/thread/699003"" rel=""noreferrer"">https://developer.apple.com/forums/thread/699003</a>. This and many other articles say that using swiftUI with MVVM is redundant.</p>
<p>I've also seen other sources that say MVVM is just fine for swiftUI.</p>
<p>Is it just a matter of personal preference? Or, is explicitly defining viewmodels redundant in swiftUI?</p>
","swift,swiftui,mvvm",6,0,2759,False,,Jack_Frost,2023-02-17T00:19:14+00:00,2023-02-17T00:41:58+00:00,https://stackoverflow.com/questions/75479177/is-using-mvvm-with-swiftui-a-bad-practice,"MV,MVVM",SwiftUI
71970581,SwiftUI MV,Incorrect JSON Model in SwiftUI,"<p>I am trying to retrieve the current news via API Call from the page <a href=""https://newsapi.org"" rel=""nofollow noreferrer"">https://newsapi.org</a>. This has all worked well so far, but sometimes I can't retrieve certain values even though they are spelled correctly.
At the moment I am not able to retrieve the description and urlToImage. Thank you in advance....</p>
<p>This is my current code:</p>
<pre><code>import SwiftUI

struct Response: Codable {
   var articles: [Article]
}

struct Article: Codable {
   struct Source: Codable {
       var name: String
   }
   
   var source: Source
   
   var title: String
   // var description: String
   var url: URL
   //var urlToImage: URL
   var content: String
}

struct NewsGridView: View {
   @State private var articles = [Article]()
   
   var body: some View {
       
       ScrollView {
           
           
           
           
           // Generiert einen Button für jede Schlagzeile
           ForEach(articles, id: \.title) { item in
               
               ZStack {
                   
                   Rectangle()
                       .foregroundColor(Color(.systemGray6))
                       .cornerRadius(15)
                       .frame(width: 295, height: 350, alignment: .center)
                       .shadow(radius: 5)
                   
                   
                   VStack {
                       Text(item.title)
                           .foregroundColor(.black)
                           .fontWeight(.bold)
                           .frame(width: 260)
                           .padding(.horizontal, 25)
                       
                       
                   }
                   
               }
               
               
           }
       
       .task {
           await loadData()
       }
       
           
           
       }
       
       
   }
   func loadData() async {
       guard let url = URL(string: &quot;https://newsapi.org/v2/top-headlines?country=de&amp;apiKey=--API KEY--&quot;) else {
           print(&quot;Invalid URL&quot;)
           return
       }
       
       do {
           let (data, _) = try await URLSession.shared.data(from: url)
           
           if let decodedResponse = try? JSONDecoder().decode(Response.self, from: data) {
               articles = decodedResponse.articles
           }
           
       } catch {
           print(&quot;Error&quot;)
       }
   }
}
</code></pre>
<p>That’s what it prints when I add</p>
<pre><code>
print(String(data: data, encoding: .utf8))

</code></pre>
<pre><code>
Optional(&quot;{\&quot;status\&quot;:\&quot;ok\&quot;,\&quot;totalResults\&quot;:34,\&quot;articles\&quot;:[{\&quot;source\&quot;:{\&quot;id\&quot;:null,\&quot;name\&quot;:\&quot;tagesschau.de\&quot;},\&quot;author\&quot;:\&quot;tagesschau\&quot;,\&quot;title\&quot;:\&quot;Krieg gegen die Ukraine: Berichte über weitere Massengräber bei Mariupol | tagesschau.de - tagesschau.de\&quot;,\&quot;description\&quot;:\&quot;Satellitenbildern zufolge soll es im Großraum Mariupol weitere Massengräber geben. Derweil wird ein neuer Fluchtkorridor aus der belagerten Hafenstadt vorbereitet, während sich russische Truppen im Osten des Landes festsetzen.\&quot;,\&quot;url\&quot;:\&quot;https://www.tagesschau.de/ausland/europa/ukraine-mariuopol-massengraeber-101.html\&quot;,\&quot;urlToImage\&quot;:\&quot;https://www.tagesschau.de/multimedia/bilder/mariupol-graeber-101~_v-original.jpg\&quot;,\&quot;publishedAt\&quot;:\&quot;2022-04-23T02:51:44Z\&quot;,\&quot;content\&quot;:\&quot;Satellitenbildern zufolge soll es im Großraum Mariupol weitere Massengräber geben. Derweil wird ein neuer Fluchtkorridor aus der belagerten Hafenstadt vorbereitet, während sich russische Truppen im O… [+5484 chars]\&quot;},{\&quot;source\&quot;:{\&quot;id\&quot;:null,\&quot;name\&quot;:\&quot;Www.fr.de\&quot;},\&quot;author\&quot;:null,\&quot;title\&quot;:\&quot;Frankreich-Wahl: TV-Duell Macron – Le Pen - eine Umfrage zeigt klaren Sieger - fr.de\&quot;,\&quot;description\&quot;:\&quot;Vor der Frankreich-Wahl 2022 liefern sich Emmanuel Macron und Marine Le Pen in einem TV-Duell einen harten Schlagabtausch.\&quot;,\&quot;url\&quot;:\&quot;https://www.fr.de/politik/stichwahl-paris-frankreich-wahl-2022-macron-le-pen-tv-duell-news-tv-russland-91489350.html\&quot;,\&quot;urlToImage\&quot;:\&quot;https://www.fr.de/bilder/2022/04/20/91489350/28696175-emmanuel-macron-und-marine-le-pen-im-tv-duell-zur-frankreich-wahl-2022-1dfe.jpg\&quot;,\&quot;publishedAt\&quot;:\&quot;2022-04-23T02:49:00Z\&quot;,\&quot;content\&quot;:\&quot;&lt;ol&gt;&lt;li&gt;Startseite&lt;/li&gt;&lt;li&gt;Politik&lt;/li&gt;&lt;/ol&gt;Erstellt: 23.04.2022, 04:49 Uhr\\r\\nVon: Andreas Apetz\\r\\nKommentareTeilen\\r\\nVor der Frankreich-Wahl 2022 liefern sich Emmanuel Macron und Marine Le Pen in einem… [+9368 chars]\&quot;},{\&quot;source\&quot;:{\&quot;id\&quot;:null,\&quot;name\&quot;:\&quot;N-tv.de\&quot;},\&quot;author\&quot;:\&quot;n-tv NACHRICHTEN\&quot;,\&quot;title\&quot;:\&quot;Vermittlung im Ukraine-Krieg: UN-Generalsekretär besucht nach Moskau auch Kiew - n-tv NACHRICHTEN\&quot;,\&quot;description\&quot;:\&quot;Ehemalige hochrangige UN-Mitarbeiter erhöhen den Druck auf Generalsekretär Guterres: In einem Brief fordern sie ihn zu mehr Engagement auf, um an einer politischen Lösung im Ukraine-Krieg mitzuwirken. Nun wird bekannt, dass er die Hauptstädte beider Kriegspar…\&quot;,\&quot;url\&quot;:\&quot;https://www.n-tv.de/politik/UN-Generalsekretaer-besucht-nach-Moskau-auch-Kiew-article23284809.html\&quot;,\&quot;urlToImage\&quot;:\&quot;https://bilder3.n-tv.de/img/incoming/crop23284810/0221323798-cImg_16_9-w1200/283315222.jpg\&quot;,\&quot;publishedAt\&quot;:\&quot;2022-04-23T01:31:00Z\&quot;,\&quot;content\&quot;:\&quot;Ehemalige hochrangige UN-Mitarbeiter erhöhen den Druck auf Generalsekretär Guterres: In einem Brief fordern sie ihn zu mehr Engagement auf, um an einer politischen Lösung im Ukraine-Krieg mitzuwirken… [+1887 chars]\&quot;},{\&quot;source\&quot;:{\&quot;id\&quot;:null,\&quot;name\&quot;:\&quot;News.de\&quot;},\&quot;author\&quot;:\&quot;roj/news.de\&quot;,\&quot;title\&quot;:\&quot;Erdnahe Asteroiden heute: Potenziell gefährlich! DIESE Asteroiden nähern sich der Erde - m.news.de\&quot;,\&quot;description\&quot;:\&quot;Mit \\\&quot;(2001 XP31)\\\&quot; und \\\&quot;(2015 BK515)\\\&quot; erreichen heute - neben 9 weiteren Asteroiden - 2 potenziell gefährliche Asteroiden den erdnächsten Punkt auf ihrer Umlaufbahn. Ein Überblick über die aktuell größten Asteroiden in Erdnähe und potenzielle Gefahren.\&quot;,\&quot;url\&quot;:\&quot;https://www.news.de/panorama/856160169/asteroid-heute-am-23-04-2022-in-erdnaehe-nasa-liste-potenziell-gefaehrlicher-asteroiden-mit-groesse-und-entfernung-zur-erde-aktuell/1/\&quot;,\&quot;urlToImage\&quot;:\&quot;https://media.news.de/resources/thumbs/52/e6/857718024_736x414/welche-asteroiden-sind-heute-in-erdnaehe-1646312378.jpg\&quot;,\&quot;publishedAt\&quot;:\&quot;2022-04-23T00:30:24Z\&quot;,\&quot;content\&quot;:\&quot;Mit \\\&quot;(2001 XP31)\\\&quot; und \\\&quot;(2015 BK515)\\\&quot; erreichen heute - neben 9 weiteren Asteroiden - 2 potenziell gefährliche Asteroiden den erdnächsten Punkt auf ihrer Umlaufbahn. Ein Überblick über die aktuell grö… [+6164 chars]\&quot;},{\&quot;source\&quot;:{\&quot;id\&quot;:\&quot;spiegel-online\&quot;,\&quot;name\&quot;:\&quot;Spiegel Online\&quot;},\&quot;author\&quot;:\&quot;DER SPIEGEL\&quot;,\&quot;title\&quot;:\&quot;»Irrsinniger Krieg«: Tinkoff-Bank will sich nach Putin-Kritik ihres Gründers umbenennen - DER SPIEGEL\&quot;,\&quot;description\&quot;:\&quot;Die russische Tinkoff-Bank wird bald anders heißen. Der neue Name ist vermutlich eine Reaktion auf die deutlichen Worte, des Firmengründers Oleg Tinkow – er hatte das »Massaker« in der Ukraine angeprangert.\&quot;,\&quot;url\&quot;:\&quot;https://www.spiegel.de/wirtschaft/unternehmen/russland-ukraine-krieg-tinkoff-bank-will-sich-nach-kritik-von-oleg-tinkow-an-wladimir-putin-umbenennen-a-5cedb88f-20cf-4afe-8737-a7c07090ee5d\&quot;,\&quot;urlToImage\&quot;:\&quot;https://cdn.prod.www.spiegel.de/images/d22b0560-69af-4f64-8025-ee0c9bc043e7_w1280_r1.77_fpx61_fpy50.jpg\&quot;,\&quot;publishedAt\&quot;:\&quot;2022-04-22T23:28:34Z\&quot;,\&quot;content\&quot;:\&quot;Nach der scharfen Kritik des Bankiers Oleg Tinkow am Ukrainekrieg hat sein Finanzinstitut, die Tinkoff-Bank, eine Umbenennung bekannt gegeben. »Das Unternehmen hat sich lange auf den Schritt vorberei… [+1607 chars]\&quot;},{\&quot;source\&quot;:{\&quot;id\&quot;:null,\&quot;name\&quot;:\&quot;BUNTE.de\&quot;},\&quot;author\&quot;:\&quot;Anja Wöhrer\&quot;,\&quot;title\&quot;:\&quot;Herzogin Kate &amp; Prinz William: Zauberhafte Geburtstagsaufnahmen: Louis wird 4! - BUNTE.de\&quot;,\&quot;description\&quot;:\&quot;Der jüngste Sohn der Cambridges wird vier Jahre alt. Mit neuen, zuckersüßen Fotos von Prinz Louis bezaubern uns Herzogin Kate und Prinz William.\&quot;,\&quot;url\&quot;:\&quot;https://www.bunte.de/royals/britisches-koenigshaus/herzogin-kate-prinz-william-zauberhafte-geburtstagsaufnahmen-louis-wird-4.html\&quot;,\&quot;urlToImage\&quot;:\&quot;https://images.bstatic.de/47tQlSeaxunqcv1Dz1ru868R1Ok=/1200x630/filters:focal(391x388:411x408)/images/f2da2f5e/6197/436f/86b2/656c17fd88c3.jpg\&quot;,\&quot;publishedAt\&quot;:\&quot;2022-04-22T22:27:40Z\&quot;,\&quot;content\&quot;:\&quot;Zwei Tage nachdem Queen Elizabeth II. (96) ihren 96. Geburtstag feierte, ist nun ihr Urenkel Prinz Louis (4) an der Reihe. Am Samstag (23. April) wird der jüngste Sprössling von Prinz William (39) un… [+496 chars]\&quot;},{\&quot;source\&quot;:{\&quot;id\&quot;:null,\&quot;name\&quot;:\&quot;N-tv.de\&quot;},\&quot;author\&quot;:\&quot;n-tv NACHRICHTEN\&quot;,\&quot;title\&quot;:\&quot;Wilder Playoff-Showdown: Eisbären rupfen die Adler in neun Minuten - n-tv NACHRICHTEN\&quot;,\&quot;description\&quot;:\&quot;Die Favoriten auf die deutsche Eishockeymeisterschaft haben sich in ihren Playoff-Halbfinals trotz Rückstanden erneut durchgesetzt. Am Sonntag kann bereits eine Entscheidung fallen.\&quot;,\&quot;url\&quot;:\&quot;https://www.n-tv.de/sport/Eisbaeren-rupfen-die-Adler-in-neun-Minuten-article23284736.html\&quot;,\&quot;urlToImage\&quot;:\&quot;https://bilder2.n-tv.de/img/incoming/crop23284733/1501323191-cImg_16_9-w1200/0810e799ff5d25710b4c2dafa7320f50.jpg\&quot;,\&quot;publishedAt\&quot;:\&quot;2022-04-22T21:02:30Z\&quot;,\&quot;content\&quot;:\&quot;Die Favoriten auf die deutsche Eishockeymeisterschaft haben sich in ihren Playoff-Halbfinals trotz Rückstanden erneut durchgesetzt. Am Sonntag kann bereits eine Entscheidung fallen.\\r\\nMeister Eisbären… [+2624 chars]\&quot;},{\&quot;source\&quot;:{\&quot;id\&quot;:null,\&quot;name\&quot;:\&quot;Www.ndr.de\&quot;},\&quot;author\&quot;:\&quot;Florian Neuhauss\&quot;,\&quot;title\&quot;:\&quot;FC Barcelona nimmt die VfL-Frauen vor Rekordkulisse auseinander - NDR.de\&quot;,\&quot;description\&quot;:\&quot;Es hätte der Abend ihres Lebens als Fußballerinnen werden sollen - vor der Rekordkulisse von 91.648 Zuschauern im Halbfinal-Hinspiel der Champions League beim FC Barcelona erlebten die Spielerinnen des VfL Wolfsburg allerdings ein Debakel. Mit dem 1:5 (0:4) w…\&quot;,\&quot;url\&quot;:\&quot;https://www.ndr.de/sport/fussball/FC-Barcelona-nimmt-vor-Rekordkulisse-die-VfL-Frauen-auseinander,wolfsburg17760.html\&quot;,\&quot;urlToImage\&quot;:\&quot;https://www.ndr.de/sport/fussball/wolfsburg17762_v-contentxl.jpg\&quot;,\&quot;publishedAt\&quot;:\&quot;2022-04-22T20:30:49Z\&quot;,\&quot;content\&quot;:\&quot;Stand: 22.04.2022 22:21 Uhr\\r\\nEs hätte der Abend ihres Lebens als Fußballerinnen werden sollen - vor der Rekordkulisse von 91.648 Zuschauern im Halbfinal-Hinspiel der Champions League beim FC Barcelon… [+4647 chars]\&quot;},{\&quot;source\&quot;:{\&quot;id\&quot;:\&quot;spiegel-online\&quot;,\&quot;name\&quot;:\&quot;Spiegel Online\&quot;},\&quot;author\&quot;:\&quot;DER SPIEGEL\&quot;,\&quot;title\&quot;:\&quot;Fußball-Bundesliga: Kruse-Dreierpack sorgt für Wolfsburger Glücksgefühle - DER SPIEGEL\&quot;,\&quot;description\&quot;:\&quot;Allein für diesen Abend hat sich der Winter-Transfer von Max Kruse nach Wolfsburg schon gelohnt. Gegen Mainz 05 traf er dreimal – und bringt den VfL damit dem Klassenerhalt ein ganzes Stück näher.\&quot;,\&quot;url\&quot;:\&quot;https://www.spiegel.de/sport/fussball/vfl-wolfsburg-besiegt-mainz-05-vor-allem-dank-max-kruse-a-c6083ce2-5aa2-433b-bda6-2ef9a3ce22a5\&quot;,\&quot;urlToImage\&quot;:\&quot;https://cdn.prod.www.spiegel.de/images/9139e7a4-81c2-455a-908b-cd268792b31b_w1280_r1.77_fpx62_fpy14.jpg\&quot;,\&quot;publishedAt\&quot;:\&quot;2022-04-22T20:27:07Z\&quot;,\&quot;content\&quot;:\&quot;Angeführt von Dreifachtorschütze Max Kruse hat ein wie entfesselnd aufspielende VfL Wolfsburg den vorentscheidenden Schritt zum Klassenerhalt in der Fußball-Bundesliga gemacht. Die Niedersachsen ließ… [+2011 chars]\&quot;},{\&quot;source\&quot;:{\&quot;id\&quot;:null,\&quot;name\&quot;:\&quot;merkur.de\&quot;},\&quot;author\&quot;:null,\&quot;title\&quot;:\&quot;Ukraine-News: Russland räumt erstmals „Moskwa“-Verluste ein - Ausländische Kämpfer in Stahlwerk eingeschlossen - Merkur.de\&quot;,\&quot;description\&quot;:\&quot;Selenskyj sagt, Mariupol widersetze sich weiter Russland. Ein Pro-Kreml-Kanal veröffentlichte kurzeitig neue Todeszahlen der russischen Seite. News-Ticker.\&quot;,\&quot;url\&quot;:\&quot;https://www.merkur.de/politik/kiew-grossoffensive-ukraine-krieg-russland-news-aktuell-mariupol-putin-selenskyj-angriffe-zr-91491144.html\&quot;,\&quot;urlToImage\&quot;:\&quot;https://www.merkur.de/bilder/2022/04/21/91491144/28676040-das-russische-flaggschiff-moskwa-soll-durch-ukrainischen-beschuss-zerstoert-worden-sein-nun-wirft-die-ukraine-russland-einen-vergeltungsversuch-vor-1YzFroI9LTfe.jpg\&quot;,\&quot;publishedAt\&quot;:\&quot;2022-04-22T19:41:44Z\&quot;,\&quot;content\&quot;:\&quot;&lt;ol&gt;&lt;li&gt;Startseite&lt;/li&gt;&lt;li&gt;Politik&lt;/li&gt;&lt;/ol&gt;Erstellt: 23.04.2022, 04:50 Uhr\\r\\nVon: Richard Strobl, Patrick Mayer, Katharina Haase, Stephanie Munk, Christoph Gschoßmann, Fabian Müller\\r\\nKommentareTeilen… [+25691 chars]\&quot;},{\&quot;source\&quot;:{\&quot;id\&quot;:null,\&quot;name\&quot;:\&quot;STERN.de\&quot;},\&quot;author\&quot;:\&quot;STERN.de\&quot;,\&quot;title\&quot;:\&quot;Olaf Scholz verteidigt Waffen-Strategie: \\\&quot;Es darf keinen Atomkrieg geben\\\&quot; - STERN.de\&quot;,\&quot;description\&quot;:\&quot;Viele Länder liefern schwere Waffen an die Ukraine. Bundeskanzler Olaf Scholz bleibt aber zurückhaltend. In einem Interview lässt er durchblicken, was dah...\&quot;,\&quot;url\&quot;:\&quot;https://www.stern.de/politik/deutschland/olaf-scholz-verteidigt-waffen-strategie---es-darf-keinen-atomkrieg-geben--31799924.html\&quot;,\&quot;urlToImage\&quot;:\&quot;https://image.stern.de/31799964/t/wx/v2/w1440/r1.7778/-/olaf-scholz.jpg\&quot;,\&quot;publishedAt\&quot;:\&quot;2022-04-22T17:41:00Z\&quot;,\&quot;content\&quot;:\&quot;22.04.2022, 19:41 Uhr\\r\\n 3 Min. Lesezeit\\r\\nFrankreich, Tschechien, die Niederlande und sogar das kleine Estland: Alle liefern sie schwere Waffen. Olaf Scholz ist weiter zurückhaltend. In einem Intervie… [+5426 chars]\&quot;},{\&quot;source\&quot;:{\&quot;id\&quot;:null,\&quot;name\&quot;:\&quot;SPORT1\&quot;},\&quot;author\&quot;:\&quot;SPORT1\&quot;,\&quot;title\&quot;:\&quot;Formel 1 Qualifying LIVE: Verstappen holt Pole für Sprint-Rennen! F1 Heute im TV, Stream, Ticker - SPORT1\&quot;,\&quot;description\&quot;:\&quot;Ferrari geht auf seiner Hausstrecke in Imola als Favorit ins Wochenende. Aber nicht nur ein Crash von Carlos Sainz dämpft die Stimmung. Auch Charles Leclerc wird übertrumpft.\&quot;,\&quot;url\&quot;:\&quot;https://www.sport1.de/news/motorsport/formel1/2022/04/formel-1-qualifying-in-imola-live-startzeit-ubertragung-im-tv-stream-ticker\&quot;,\&quot;urlToImage\&quot;:\&quot;https://reshape.sport1.de/c/t/da4cf21c-5f70-4027-b661-13b35593be61/1200x630\&quot;,\&quot;publishedAt\&quot;:\&quot;2022-04-22T17:31:42Z\&quot;,\&quot;content\&quot;:\&quot;Heimspiel für Ferrari beim Großen Preis der Emilia-Romagna!\\r\\nAuf der ersten Europa-Station in dieser Formel-1-Saison geht es ins Autodromo Enzo e Dino Ferrari in Imola - nicht nur auf die italienisch… [+3476 chars]\&quot;},{\&quot;source\&quot;:{\&quot;id\&quot;:null,\&quot;name\&quot;:\&quot;YouTube\&quot;},\&quot;author\&quot;:null,\&quot;title\&quot;:\&quot;LIVE : Der Countdown zu Show 8 | Let\'s Dance - RTL\&quot;,\&quot;description\&quot;:\&quot;Alle News und Infos zu Let\'s Dance: https://www.rtl.de/cms/sendungen/lets-dance.html?utm_source=youtube&amp;utm_medium=editorial&amp;utm_campaign=beschreibung&amp;utm_te...\&quot;,\&quot;url\&quot;:\&quot;https://www.youtube.com/watch?v=fdVGuYKWUBA\&quot;,\&quot;urlToImage\&quot;:\&quot;https://i.ytimg.com/vi/fdVGuYKWUBA/hqdefault.jpg\&quot;,\&quot;publishedAt\&quot;:\&quot;2022-04-22T17:12:38Z\&quot;,\&quot;content\&quot;:null},{\&quot;source\&quot;:{\&quot;id\&quot;:null,\&quot;name\&quot;:\&quot;Www.ndr.de\&quot;},\&quot;author\&quot;:null,\&quot;title\&quot;:\&quot;Corona-News-Ticker: Gericht kippt Hotspot-Regelung für MV - NDR.de\&quot;,\&quot;description\&quot;:\&quot;Die Voraussetzungen hätten laut Gericht für die Kommunen einzeln überprüft werden müssen. Mehr Corona-News im Live-Ticker.\&quot;,\&quot;url\&quot;:\&quot;https://www.ndr.de/nachrichten/info/Corona-News-Ticker-Gericht-kippt-Hotspot-Regelung-fuer-MV,coronaliveticker1716.html\&quot;,\&quot;urlToImage\&quot;:\&quot;https://www.ndr.de/nachrichten/info/hotspot142_v-contentxl.jpg\&quot;,\&quot;publishedAt\&quot;:\&quot;2022-04-22T16:38:20Z\&quot;,\&quot;content\&quot;:\&quot;Stand: 22.04.2022 20:08 Uhr\\r\\nIm Live-Ticker informiert NDR.de Sie auch heute - am Freitag, 22. April 2022 - aktuell über die Folgen der Coronavirus-Pandemie für Niedersachsen, Schleswig-Holstein, Mec… [+21739 chars]\&quot;},{\&quot;source\&quot;:{\&quot;id\&quot;:null,\&quot;name\&quot;:\&quot;Www.br.de\&quot;},\&quot;author\&quot;:\&quot;BR24 Redaktion\&quot;,\&quot;title\&quot;:\&quot;Ukraine: Russland nennt erstmals konkrete Kriegsziele - br.de\&quot;,\&quot;description\&quot;:\&quot;Russland will neben dem Donbass auch die gesamte Schwarzmeerküste einnehmen. Unterdessen mehren sich die Hinweise auf zahlreiche Kriegsverbrechen im Krieg gegen die Ukraine. Die deutsche Wirtschaft leidet laut Bundesbank erheblich unter dem Krieg.\&quot;,\&quot;url\&quot;:\&quot;https://www.br.de/nachrichten/deutschland-welt/ukraine-russland-nennt-erstmals-konkrete-kriegsziele,T3kQ5Ak\&quot;,\&quot;urlToImage\&quot;:\&quot;https://img.br.de/9fe982aa-7dba-443e-94d0-ca6c9cf9c83c.jpeg?q=80&amp;rect=2,280,3998,2252&amp;w=1600&amp;h=900\&quot;,\&quot;publishedAt\&quot;:\&quot;2022-04-22T16:37:41Z\&quot;,\&quot;content\&quot;:\&quot;In der Ukraine wird während der orthodoxen Osterfeiertage weiter gekämpft. Nach Angaben des ukrainischen Präsidenten Wolodymyr Selenskyj hat Russland den Vorschlag einer Feuerpause über die Osterfeie… [+4719 chars]\&quot;},{\&quot;source\&quot;:{\&quot;id\&quot;:null,\&quot;name\&quot;:\&quot;t-online.de\&quot;},\&quot;author\&quot;:\&quot;Nora Schiemann, Nicolas Lindken\&quot;,\&quot;title\&quot;:\&quot;Körpersprache-Experte über Putins Auftritt: \\\&quot;Der schläft seit Wochen schlecht\\\&quot; - t-online\&quot;,\&quot;description\&quot;:\&quot;Russische Truppen kontrollieren offenbar Mariupol, der Kreml zeigt Putins Befehl an seinen Minister. Details am Präsidenten sorgen für Spekulationen.\&quot;,\&quot;url\&quot;:\&quot;https://www.t-online.de/nachrichten/ausland/id_92058550/koerpersprache-experte-ueber-putins-auftritt-der-schlaeft-seit-wochen-schlecht-.html\&quot;,\&quot;urlToImage\&quot;:\&quot;https://bilder.t-online.de/b/92/05/90/32/id_92059032/tid_da/index.png\&quot;,\&quot;publishedAt\&quot;:\&quot;2022-04-22T16:34:00Z\&quot;,\&quot;content\&quot;:\&quot;Russische Truppen kontrollieren offenbar Mariupol, der Kreml zeigt daraufhin einen Befehl Putins. Auffällige Details sorgen jetzt für Spekulationen. Ein Experte bewertet die skurrile Szene  im Video.… [+1045 chars]\&quot;},{\&quot;source\&quot;:{\&quot;id\&quot;:null,\&quot;name\&quot;:\&quot;Jpgames.de\&quot;},\&quot;author\&quot;:\&quot;Tony\&quot;,\&quot;title\&quot;:\&quot;Der Starttermin für das neue PlayStation Plus in Europa steht jetzt konkret fest • JPGAMES.DE - jpgames.de\&quot;,\&quot;description\&quot;:\&quot;Sony PlayStation hat den Start des neuen PlayStation Plus konkretisiert. Wir in Europa sind demnach als Letzte an der Reihe.\&quot;,\&quot;url\&quot;:\&quot;https://jpgames.de/2022/04/der-starttermin-fuer-das-neue-playstation-plus-in-europa-steht-jetzt-konkret-fest/\&quot;,\&quot;urlToImage\&quot;:\&quot;https://jpgames.de/wp-content/uploads/2019/03/God-of-War_2018_01-23-18_006.jpg\&quot;,\&quot;publishedAt\&quot;:\&quot;2022-04-22T16:28:30Z\&quot;,\&quot;content\&quot;:\&quot;Sony PlayStation hat den Start des neuen PlayStation Plus konkretisiert. Wir in Europa sind demnach als Letzte an der Reihe. Wie geplant beginnt das Programm in Asien (ohne Japan), wo am 23. Mai der … [+1075 chars]\&quot;},{\&quot;source\&quot;:{\&quot;id\&quot;:null,\&quot;name\&quot;:\&quot;tagesschau.de\&quot;},\&quot;author\&quot;:\&quot;tagesschau\&quot;,\&quot;title\&quot;:\&quot;Hohe Lebensmittelpreise: Streit über die Mehrwertsteuer | tagesschau.de - tagesschau.de\&quot;,\&quot;description\&quot;:\&quot;Wegen der stark steigenden Lebensmittelpreise sind Forderungen laut geworden, die Mehrwertsteuer bei Grundnahrungsmitteln auszusetzen. Wie sind die Reaktionen aus der Politik? Und was sagen Wirtschaftsexperten dazu?\&quot;,\&quot;url\&quot;:\&quot;https://www.tagesschau.de/wirtschaft/verbraucher/senkung-mehrwertsteuer-grundnahrungsmittel-101.html\&quot;,\&quot;urlToImage\&quot;:\&quot;https://www.tagesschau.de/multimedia/bilder/mehrwertsteuer-119~_v-original.jpg\&quot;,\&quot;publishedAt\&quot;:\&quot;2022-04-22T15:39:35Z\&quot;,\&quot;content\&quot;:\&quot;Wegen der stark steigenden Lebensmittelpreise sind Forderungen laut geworden, die Mehrwertsteuer bei Grundnahrungsmitteln auszusetzen. Wie sind die Reaktionen aus der Politik? Und was sagen Wirtschaf… [+5685 chars]\&quot;},{\&quot;source\&quot;:{\&quot;id\&quot;:null,\&quot;name\&quot;:\&quot;play3.de\&quot;},\&quot;author\&quot;:\&quot;Dennis Leschnikowski\&quot;,\&quot;title\&quot;:\&quot;The House Of The Dead Remake: PlayStation Move-Unterstützung wird nachgereicht - play3.de\&quot;,\&quot;description\&quot;:\&quot;In dieser Woche wurde das Remake zum düsteren Shooter \\\&quot;The House of the Dead\\\&quot; auch offiziell für die PlayStation 4 und weitere Plattformen angekündigt. Da es sich bei \\\&quot;The House of the Dead\\\&quot;\&quot;,\&quot;url\&quot;:\&quot;https://www.play3.de/2022/04/22/the-house-of-the-dead-remake-playstation-move-unterstuetzung-wird-nachgereicht/\&quot;,\&quot;urlToImage\&quot;:\&quot;https://www.play3.de/wp-content/uploads/2022/04/The-House-of-the-Dead.webp\&quot;,\&quot;publishedAt\&quot;:\&quot;2022-04-22T15:11:00Z\&quot;,\&quot;content\&quot;:\&quot;In dieser Woche wurde das Remake zum düsteren Shooter „The House of the Dead“ auch offiziell für die PlayStation 4 und weitere Plattformen angekündigt.\\r\\nDa es sich bei „The House of the Dead“ um eine… [+1880 chars]\&quot;},{\&quot;source\&quot;:{\&quot;id\&quot;:null,\&quot;name\&quot;:\&quot;Www.zdf.de\&quot;},\&quot;author\&quot;:\&quot;Zweites Deutsches Fernsehen\&quot;,\&quot;title\&quot;:\&quot;Russischer General äußert sich: Kriegsziel ist völlige Kontrolle über Donbass - zdf.de\&quot;,\&quot;description\&quot;:\&quot;Ein russischer General hat detaillierte Angaben zu Kriegszielen gemacht. Russland strebe unter anderem die vollständige Kontrolle über den gesamten Donbass und Süden des Landes an.\&quot;,\&quot;url\&quot;:\&quot;https://www.zdf.de/nachrichten/politik/kriegsziele-russland-ukraine-moldau-100.html\&quot;,\&quot;urlToImage\&quot;:\&quot;https://www.zdf.de/assets/mariupol-ukraine-100~1280x720?cb=1650639169708\&quot;,\&quot;publishedAt\&quot;:\&quot;2022-04-22T15:06:03Z\&quot;,\&quot;content\&quot;:null}]}&quot;)

</code></pre>
","json,swiftui",0,1,129,True,71977611,user18908963,2022-04-22T14:41:37+00:00,2022-12-01T15:29:06+00:00,https://stackoverflow.com/questions/71970581/incorrect-json-model-in-swiftui,MV,SwiftUI
